Criterion,Depth,Threshold,Accuracy,Precision,Recall,Specificity,F1,AUC,Log-loss,Kappa,TN,FP,FN,TP
Gini,2,0.149272,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.910121977316499,0.4913644214162349,0.6738856078248419,0.46314296924577364,0.37291470628577605,4253,420,758,569
Gini,3,0.367816,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.910121977316499,0.4913644214162349,0.7202963810606264,0.4518316425374147,0.37291470628577605,4253,420,758,569
Gini,4,0.31058,0.7826666666666666,0.5086923658352229,0.5071590052750565,0.860903060132677,0.5079245283018868,0.7308655230685153,0.449336274876167,0.36845969547552715,4023,650,654,673
Gini,5,0.218182,0.7446666666666667,0.44358833241607043,0.6073850791258478,0.783650759683287,0.5127226463104325,0.7462844724725777,0.4451537037153474,0.3453775694393306,3662,1011,521,806
Gini,6,0.218182,0.7641666666666667,0.47297297297297297,0.5802562170308968,0.8163920393751337,0.5211505922165821,0.755091499516777,0.4435654286980308,0.3668567637595672,3815,858,557,770
Gini,7,0.296753,0.7963333333333333,0.5437135720233139,0.492087415222306,0.8827305799272416,0.5166139240506329,0.753960162688026,0.44633613581081255,0.38800785874032795,4125,548,674,653
Gini,8,0.309494,0.7791666666666667,0.5006729475100942,0.560663149962321,0.8412154932591484,0.5289726270885176,0.7594957387199726,0.44634193881308193,0.3853483752631405,3931,742,583,744
Gini,10,0.298246,0.7708333333333334,0.48484848484848486,0.5787490580256217,0.8253798416434839,0.5276537272414977,0.7559274841394333,0.5025148735429286,0.3779248840904402,3857,816,559,768
Entropy,2,0.149272,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.910121977316499,0.4913644214162349,0.6738856078248419,0.46314296924577364,0.37291470628577605,4253,420,758,569
Entropy,3,0.367816,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.910121977316499,0.4913644214162349,0.7202963810606264,0.4518316425374147,0.37291470628577605,4253,420,758,569
Entropy,4,0.31058,0.7826666666666666,0.5086923658352229,0.5071590052750565,0.860903060132677,0.5079245283018868,0.7307560258542437,0.4497452517518989,0.36845969547552715,4023,650,654,673
Entropy,5,0.367816,0.8058333333333333,0.5774378585086042,0.45516201959306707,0.9054140808902205,0.5090602612726507,0.747905240885002,0.4455419175282835,0.3901543162591664,4231,442,723,604
Entropy,6,0.293251,0.8076666666666666,0.5809167446211413,0.46797287113790503,0.904130109137599,0.5183639398998331,0.7571247773166926,0.4423410661381575,0.399941450092964,4225,448,706,621
Entropy,7,0.30137,0.8063333333333333,0.5750682438580528,0.4762622456669179,0.9000641985876311,0.5210222588623248,0.7603752642083925,0.4588142662446994,0.4009925378379061,4206,467,695,632
Entropy,8,0.27907,0.7996666666666666,0.5531914893617021,0.4898266767143934,0.8876524716456238,0.5195843325339728,0.7595030761621662,0.4614384737615747,0.39362091217508643,4148,525,677,650
Entropy,10,0.277778,0.7685,0.48098159509202454,0.5908063300678221,0.8189599828803766,0.5302671626648631,0.7536229628720588,0.5009596898632629,0.3788005050693277,3827,846,543,784
Log-loss,2,0.149272,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.910121977316499,0.4913644214162349,0.6738856078248419,0.46314296924577364,0.37291470628577605,4253,420,758,569
Log-loss,3,0.367816,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.910121977316499,0.4913644214162349,0.7202963810606264,0.4518316425374147,0.37291470628577605,4253,420,758,569
Log-loss,4,0.31058,0.7826666666666666,0.5086923658352229,0.5071590052750565,0.860903060132677,0.5079245283018868,0.7307560258542437,0.4497452517518989,0.36845969547552715,4023,650,654,673
Log-loss,5,0.367816,0.8058333333333333,0.5774378585086042,0.45516201959306707,0.9054140808902205,0.5090602612726507,0.747905240885002,0.4455419175282835,0.3901543162591664,4231,442,723,604
Log-loss,6,0.293251,0.8076666666666666,0.5809167446211413,0.46797287113790503,0.904130109137599,0.5183639398998331,0.7571247773166926,0.4423410661381575,0.399941450092964,4225,448,706,621
Log-loss,7,0.30137,0.8063333333333333,0.5750682438580528,0.4762622456669179,0.9000641985876311,0.5210222588623248,0.7603752642083925,0.4588142662446994,0.4009925378379061,4206,467,695,632
Log-loss,8,0.27907,0.7996666666666666,0.5531914893617021,0.4898266767143934,0.8876524716456238,0.5195843325339728,0.7595030761621662,0.4614384737615747,0.39362091217508643,4148,525,677,650
Log-loss,10,0.277778,0.7685,0.48098159509202454,0.5908063300678221,0.8189599828803766,0.5302671626648631,0.7536229628720588,0.5009596898632629,0.3788005050693277,3827,846,543,784
