Threshold,Accuracy,Precision,Recall,F1,Kappa,TN,FP,FN,TP,Flagged accounts,Model,Policy
0.367816,0.8036666666666666,0.5753286147623863,0.4287867370007536,0.4913644214162349,0.37291470628577605,4253,420,758,569,989,Gini depth 3,Validation-selected threshold
0.5,0.8161666666666667,0.6951219512195121,0.3006782215523738,0.41977906365071016,0.33033844116388755,4498,175,928,399,574,Gini depth 3,Conventional 0.5 threshold
0.39792663476874,0.8031666666666667,0.5754132231404959,0.41974378296910325,0.4854030501089325,0.36737384616703184,4262,411,770,557,968,Gini depth 3,Top-10% review threshold
0.309494,0.7791666666666667,0.5006729475100942,0.560663149962321,0.5289726270885176,0.3853483752631405,3931,742,583,744,1486,Gini depth 8,Validation-selected threshold
0.5,0.8153333333333334,0.6612665684830633,0.3383571966842502,0.4476570289132602,0.3503964360137558,4443,230,878,449,679,Gini depth 8,Conventional 0.5 threshold
0.5873015873015873,0.8156666666666667,0.6826446280991736,0.31122833458929916,0.427536231884058,0.33549161704049435,4481,192,914,413,605,Gini depth 8,Top-10% review threshold
0.30137,0.8063333333333333,0.5750682438580528,0.4762622456669179,0.5210222588623248,0.4009925378379061,4206,467,695,632,1099,Entropy depth 7,Validation-selected threshold
0.5,0.815,0.6636500754147813,0.3315749811605124,0.44221105527638194,0.34580160814930816,4450,223,887,440,663,Entropy depth 7,Conventional 0.5 threshold
0.56,0.816,0.6824877250409165,0.3142426525998493,0.43034055727554177,0.33802406178601985,4479,194,910,417,611,Entropy depth 7,Top-10% review threshold
0.293251,0.8076666666666666,0.5809167446211413,0.46797287113790503,0.5183639398998331,0.399941450092964,4225,448,706,621,1069,Log-loss depth 6,Validation-selected threshold
0.5,0.8145,0.6524216524216524,0.34513941220798794,0.45145391818629865,0.3523353750577545,4429,244,869,458,702,Log-loss depth 6,Conventional 0.5 threshold
0.5588235294117647,0.8155,0.6785714285714286,0.31499623210248684,0.43026248069994855,0.3373331460333373,4475,198,909,418,616,Log-loss depth 6,Top-10% review threshold
